표제어
㴠仁亭
㶚陵
㺚川影堂
䁐花堂
䄙嬪墓
䔉山倉
䔝微堂
䳨儀殿
䳱倉
一兩齋
一可亭
一德門
一新關王廟
一淸軒
一門
一閑齋
丁字閣
丁字閣月臺
丁字閣正殿
丁字閣正門西狹門
七佛寺
七宮
七寶亭
七寶寺
七廟
七德亭
七星壇
七星臺
七星門
七松亭
七相樓
七祀堂
七祠堂
七精寺
七紅門
七葉寺
七間屛門
七陵
七陵洞第六陵
七陵洞第四陵
三仙坪瑞瑞臺
三仙坪瑞蔥臺
三倉
三南漕倉
三吾軒
三和寺
三善門
三善齋
三嘉寺
三嘉縣鷄鳴寺
三城堂
三太師廟
三姓廟
三山倉
三座門
三廟
三星堂
三樂堂
三殿閣
三氷庫
三浪倉
三海倉
三淸殿
三淸洞北倉
三溪亭
三漕倉
三營門
三田渡碑閣
三田碑閣
三節軒
三絶軒
三義廟
三義館
三聖堂
三處史庫
三處外史庫
三處水門
三角壇
三角山中興寺
三角山寺
三賢堂
三道史庫
三道烽臺
三門
三間屛門
三陟四美倉
三陟府靈隱寺
三陟沃原倉
三陟活耆洞碑閣
三陟陵
三陵
三龜之亭
上仙臺
上元寺
上壽長樂宮
上山臺
上智寺
上東門
上林園
上游可興倉
上火藥庫
上苑門
上藍寺
上門
上院寺
上陽宮
上黨君李佇墓
上齋
下倉
下南倉
下南倉火藥庫
下火藥庫
下輦臺
下龍堂
不毁樓
不老門
且延生殿
丕承閣
丕闡堂
丕闡堂北門
丕顯閣
丕顯閣南門詒謨門
世子嬪宮
世子宮
中別堂
中和正殿
中和殿
中和殿外三門
中和殿月臺
中和門
中和門東西俠門
中國館
中城門
中大門
中宗大王陵
中宗廟
中宮殿
中山倉
中庵寺
中庸齋
中廟
中心亭
中日閣
中日閣亭
中書堂
中東軒
中東門
中極殿
中正殿
中正門
中興倉
中興寺
中行閣南門永化門
中軍倉
中軍內倉
中部司業寺
中門
中陽門
丹大殿
丹宵殿
丹扆門
丹楓亭
丹楓亭不老門
丹獻門
丹置門
丹門
丹陽大興寺
丹陽郡鄕校聖殿
丹霞門
丹鳯門
丹鳳三門
丹鳳樓
丹鳳門
主陵
久倉
乙密臺
乙臺
九如門
九容齋
九帿庫
九廟
九思齋
九成宮
九成軒
九成軒正門
九曜堂
九月臺
九梯宮
九疇壇
