표제어,처리,재태깅결과,제외어,유형,출처구분
謙進兀狄哈,제거,,謙進兀狄哈,종족명,종족·국호
賊夷,제거,,賊夷,종족명,종족·국호
賊胡,제거,,賊胡,종족명,종족·국호
賊虜,제거,,賊虜,종족명,종족·국호
車節兀狄哈,제거,,車節兀狄哈,종족명,종족·국호
遇㺚賊,제거,,遇㺚賊,사람·집단 지칭,종족·국호
達㺚虜,제거,,達㺚虜,종족명,종족·국호
達子,제거,,達子,종족명,종족·국호
達達,제거,,達達,종족명,종족·국호
郞胡,제거,,郞胡,종족명,종족·국호
都乙溫韃靼,제거,,都乙溫韃靼,종족명,종족·국호
都蠻,제거,,都蠻,종족명,종족·국호
都骨,제거,,都骨,종족명,종족·국호
都骨兀狄哈,제거,,都骨兀狄哈,종족명,종족·국호
酋胡,제거,,酋胡,종족명,종족·국호
野人,제거,,野人,종족명,종족·국호
金㺚子,제거,,金㺚子,종족명,종족·국호
金人,제거,,金人,종족명,종족·국호
金虜,제거,,金虜,종족명,종족·국호
釜倭,제거,,釜倭,사람·집단 지칭,종족·국호
鎭夷,제거,,鎭夷,종족명,종족·국호
開元㺚子,제거,,開元㺚子,종족명,종족·국호
闊兒看亏狄哈,제거,,闊兒看亏狄哈,종족명,종족·국호
闊兒看兀狄哈,제거,,闊兒看兀狄哈,종족명,종족·국호
阿河吾郞哈,제거,,阿河吾郞哈,종족명,종족·국호
阿赤郞貴兀良哈,제거,,阿赤郞貴兀良哈,종족명,종족·국호
降胡,제거,,降胡,종족명,종족·국호
雙環㺚子,제거,,雙環㺚子,종족명,종족·국호
雜胡,제거,,雜胡,종족명,종족·국호
靺虜,제거,,靺虜,종족명,종족·국호
靼韃,제거,,靼韃,비지명,종족·국호
鞭靼,제거,,鞭靼,종족명,종족·국호
韃靼,제거,,韃靼,종족명,종족·국호
頭胡,제거,,頭胡,종족명,종족·국호
頭頭斡朶里,제거,,頭頭斡朶里,종족명,종족·국호
館倭,제거,,館倭,사람·집단 지칭,종족·국호
骨看,제거,,骨看,종족명,종족·국호
骨看亏狄哈,제거,,骨看亏狄哈,종족명,종족·국호
骨看亏知介,제거,,骨看亏知介,종족명,종족·국호
骨看亏知哈,제거,,骨看亏知哈,종족명,종족·국호
骨看亐知哈,제거,,骨看亐知哈,종족명,종족·국호
骨看兀狄,제거,,骨看兀狄,종족명,종족·국호
骨看兀狄吟,제거,,骨看兀狄吟,종족명,종족·국호
骨看兀狄哈,제거,,骨看兀狄哈,종족명,종족·국호
高蠻,제거,,高蠻,종족명,종족·국호
魚皮㺚,제거,,魚皮㺚,종족명,종족·국호
鴟夷,제거,,鴟夷,종족명,종족·국호
麾胡,제거,,麾胡,종족명,종족·국호
黃擧人,제거,,黃擧人,종족명,종족·국호
黃眼㺚子,제거,,黃眼㺚子,종족명,종족·국호
黃眼㺚賊,제거,,黃眼㺚賊,사람·집단 지칭,종족·국호
